Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	total_genes
Gasterosteus Aculeatus	Actinopteri	Actinopteri	0.380004858	0.229974551	-0.12977443	0.012550854	0	0	0	0	0	504	10	2	22	0	0	20787	0	416	0	0	297	366	0	0	0	0	0	0	0	0	0	0	0	52	22456
Haplochromis Burtoni	Actinopteri	Actinopteri	0.205110834	0.124130708	-0.165926719	-0.008872164	0	0	3	0	30	393	16	0	0	0	0	23044	3	119	8	0	207	34	1	0	0	0	2	0	0	0	0	0	0	23	23883
Homo Sapiens	Mammalia	Human & Mouse	1.591564283	0.963196323	0.556870666	0.033715005	23	64	24	0	228	1924	2407	2	22	0	0	22895	8	71	51	1	1009	2072	6	1111	8	5	93	160	0	0	1	0	20062	17026	69292
Ictalurus Punctatus	Actinopteri	Actinopteri	0.302720363	0.183202867	-0.143326809	0.009163924	0	0	1	0	50	56	15	2	22	0	0	23598	5	1024	9	0	168	128	2	0	1	0	1	0	0	0	0	0	0	36	25118
Ictidomys Tridecemlineatus	Mammalia	Mammalia	0.987874878	0.597850467	0.104846773	-0.024200744	0	0	0	0	0	459	534	2	22	0	0	18474	10	104	30	0	684	1152	3	0	0	0	0	0	0	0	0	0	3418	309	25201
Kryptolebias Marmoratus	Actinopteri	Actinopteri	0.123856239	0.074956366	-0.181431553	-0.017812465	0	0	1	0	15	78	12	2	22	0	0	21911	3	21	9	0	168	31	1	0	0	0	3	0	0	0	0	0	0	37	22314
Labrus Bergylta	Actinopteri	Actinopteri	0.329737629	0.199553405	-0.141286662	0.008462201	0	0	38	0	85	97	48	0	0	0	0	27270	3	925	13	0	303	260	1	0	0	0	0	0	0	0	0	0	0	44	29087
Larimichthys Crocea	Actinopteri	Actinopteri	0.269353157	0.16300942	-0.156474108	-0.003672757	0	0	5	0	28	124	28	2	22	0	0	22891	13	183	7	0	253	129	0	0	0	0	5	0	0	0	9	1	0	258	23958
Lates Calcarifer	Actinopteri	Actinopteri	0.348145208	0.210693459	-0.138564231	0.007323164	0	0	3	0	34	135	22	0	0	0	0	25058	3	410	13	0	268	454	1	0	0	0	14	0	0	0	0	0	0	346	26761
Leptobrachium Leishanense	Amphibia	Amphibia	0.310862884	0.188130627	-0.140655048	0.004812628	0	0	0	0	0	29	30	0	0	0	0	29203	10	203	18	0	314	296	0	0	0	0	0	0	0	0	9	3	0	941	31056
Macaca Fascicularis	Mammalia	Mammalia	1.412916733	0.855080889	0.264021562	0.016610726	4	0	0	0	102	580	3274	2	22	0	0	22323	4	108	43	0	1305	1961	0	0	8	0	20	47	0	0	7	659	6624	1457	38550
Macaca Mulatta	Mammalia	Mammalia	1.374847756	0.832041984	0.219747487	0.036741329	3	2	0	0	88	626	3419	2	22	0	0	21591	4	145	43	0	1326	1875	0	0	8	0	21	48	0	0	7	666	4769	767	35432
Macaca Nemestrina	Mammalia	Mammalia	1.133680001	0.686090044	0.068797554	0.093334008	27	0	0	0	105	1306	1997	0	0	0	0	20872	7	697	49	0	832	1700	0	0	9	0	0	47	0	0	0	0	633	584	28865
Mastacembelus Armatus	Actinopteri	Actinopteri	0.274464357	0.166102659	-0.148947556	-0.017704006	0	0	3	0	45	106	13	0	0	0	0	22310	3	51	9	0	178	103	0	0	0	0	6	0	0	0	4	2	346	210	23389
Meleagris Gallopavo	Aves	Aves	0.454283797	0.274927307	-0.084741342	-0.033583565	0	0	0	0	0	156	4	2	22	0	0	16226	4	52	15	0	202	90	0	0	0	0	0	0	0	0	1	3	1034	159	17970
Mesocricetus Auratus	Mammalia	Mammalia	0.802935753	0.485927444	-0.030017496	0.0656923	0	0	0	0	0	772	702	2	22	0	0	18257	23	477	49	0	621	1049	3	0	0	0	0	0	0	0	0	0	0	306	22283
Monodelphis Domestica	Mammalia	Mammalia	0.985566331	0.596453361	0.288775783	-0.131148278	0	0	0	0	2	641	34	2	22	0	0	21380	2	45	20	0	278	801	0	0	0	0	0	2	0	0	13	10	10867	866	34985
Mus Musculus	Mammalia	Human & Mouse	1.652377865	1	0.468135344	0.084611138	13	19	14	4	218	2206	562	2	22	0	0	21959	22	354	51	1	1507	1381	2	3237	8	4	70	144	0	0	0	0	11527	13653	56980
Mus Spretus	Mammalia	Mammalia	1.564777981	0.946985562	0.319056404	0.06710777	10	4	11	1	77	1614	538	0	10	0	0	19905	18	280	49	0	1214	1129	2	2041	5	4	68	89	0	0	0	0	5787	5701	38557
Mustela Putorius Furo	Mammalia	Mammalia	1.106174063	0.669443768	0.256746918	-0.08324063	0	0	0	0	0	818	432	0	0	0	0	19910	0	504	0	0	612	1248	0	0	0	0	0	0	0	0	0	0	8246	287	32057
Myotis Lucifugus	Mammalia	Mammalia	0.926045204	0.560431862	0.026308141	0.092076698	0	0	0	0	0	785	446	0	0	0	0	19728	0	171	0	0	1406	1600	0	0	0	0	0	0	0	0	0	0	0	1713	25849
Neolamprologus Brichardi	Actinopteri	Actinopteri	0.20743558	0.125537617	-0.16643467	-0.009184705	0	0	4	0	22	360	14	2	22	0	0	23568	3	123	7	0	202	42	1	0	0	0	2	0	0	0	0	0	0	39	24411
Nothobranchius Furzeri	Actinopteri	Actinopteri	0.387619826	0.234583042	-0.10511868	-0.025121136	0	0	2	0	5	62	10	2	23	0	0	23421	4	23	9	0	152	63	0	0	0	0	0	0	0	0	9	1	1044	645	25475
Oncorhynchus Kisutch	Actinopteri	Actinopteri	0.661135352	0.400111479	-0.049951434	0.003972654	0	30	3	0	39	301	221	0	0	0	0	43835	44	1973	18	0	828	673	0	0	0	0	1	32	0	0	90	2	2353	561	51004
Oncorhynchus Mykiss	Actinopteri	Actinopteri	0.9070658	0.548945746	0.047464242	0.085084639	0	36	2	0	44	301	259	0	0	0	0	48164	119	9876	17	0	1100	1508	0	0	0	0	4	76	0	0	9	2	2436	541	64494
Oncorhynchus Tshawytscha	Actinopteri	Actinopteri	0.520499834	0.315000488	-0.059720183	-0.036539702	0	17	3	0	33	298	23	2	22	0	0	42356	15	36	19	0	618	351	0	0	0	0	2	4	0	0	26	4	3409	760	47998
